"Site","year","shells","type","Area","density","prev"
"BS",2004,0,"Fresh",15.2,4.8,1
"BS",2005,0,"Fresh",15.2,4.8,1
"BS",2006,0,"Fresh",15.2,4.8,1
"CB",2004,1,"Fresh",16,2.8,4.3
"CB",2005,0,"Fresh",16,2.8,8
"CB",2006,1,"Fresh",16,2.8,17.6
"Cent",2004,0,"Fresh",6.9,29.1,28.6
"Cent",2005,1,"Fresh",6.9,29.1,51.9
"Cent",2006,1,"Fresh",6.9,29.1,10.7
"CF",2004,9,"Fresh",43.2,4.2,80.7
"CF",2005,7,"Fresh",43.2,4.2,72.2
"CF",2006,6,"Fresh",43.2,4.2,77.8
"FC",2004,0,"Fresh",24.7,4.4,1
"FC",2005,0,"Fresh",24.7,4.4,3.4
"FC",2006,3,"Fresh",24.7,4.4,45.8
"FE",2004,5,"Fresh",39.9,2.5,3.3
"FE",2005,1,"Fresh",39.9,2.5,1
"FE",2006,1,"Fresh",39.9,2.5,1
"GH",2004,3,"Fresh",48.1,1.8,32.4
"GH",2005,1,"Fresh",48.1,1.8,39.5
"GH",2006,2,"Fresh",48.1,1.8,37
"Old",2004,1,"Fresh",29.9,2.5,14.3
"Old",2005,1,"Fresh",29.9,2.5,25
"Old",2006,3,"Fresh",29.9,2.5,78.8
"Ord",2004,4,"Fresh",61,2.5,1
"Ord",2005,1,"Fresh",61,2.5,1
"Ord",2006,1,"Fresh",61,2.5,1.8
"TE",2004,0,"Fresh",5.3,33,42.9
"TE",2005,0,"Fresh",5.3,33,47.8
"TE",2006,1,"Fresh",5.3,33,31.6
