############################################################################
############################################################################
## Description of Variables in Dataset #####################################
############################################################################
############################################################################
## TortID -- Tortoise identification number                               ##
## Date -- Date of capture and sampling                                   ##
## YEAR -- Year of capture and sampling                                   ##
## CL -- Carapace length in millimeters                                   ##
## Sex -- Sex of tortoise (M: Male, F: Female, Juv: Juvenile)             ##
## ELISA -- Result of ELISA test (POSITIVE, negative)                     ##
## SITE -- Study site ID (all data from CF site)                          ##
## status -- Result of ELISA test (1: M. agassizii Positive, 0: Negative) ##
## age -- Equivalent to carapace length                                   ##
############################################################################
############################################################################

TortID Date YEAR CL Sex ELISA SITE status age
CF022 8/6/06 2006 269 M POSITIVE CF 1 269
CF023 5/6/03 2003 270 M POSITIVE CF 1 270
CF023 5/24/05 2005 268 M POSITIVE CF 1 268
CF025 5/21/05 2005 283 F POSITIVE CF 1 283
CF028 8/5/04 2004 255 M POSITIVE CF 1 255
CF038 8/2/04 2004 252 F POSITIVE CF 1 252
CF038 5/22/05 2005 252 F POSITIVE CF 1 252
CF045 5/9/04 2004 264 M POSITIVE CF 1 264
CF046 5/2/03 2003 258 M POSITIVE CF 1 258
CF046 5/8/04 2004 264 M POSITIVE CF 1 264
CF053 5/2/03 2003 298 F POSITIVE CF 1 298
CF053 5/10/04 2004 300 F POSITIVE CF 1 300
CF053 5/24/05 2005 300 F POSITIVE CF 1 300
CF053 5/22/06 2006 297 F POSITIVE CF 1 297
CF056 5/22/05 2005 239 F negative CF 0 239
CF058 5/7/03 2003 284 F POSITIVE CF 1 284
CF058 5/9/04 2004 282 F POSITIVE CF 1 282
CF058 5/29/05 2005 287 F POSITIVE CF 1 287
CF058 5/22/06 2006 284 F POSITIVE CF 1 284
CF061 5/3/03 2003 253 M POSITIVE CF 1 253
CF061 8/5/04 2004 256 M POSITIVE CF 1 256
CF061 5/22/06 2006 253 M POSITIVE CF 1 253
CF063 5/21/05 2005 231 M negative CF 0 231
CF063 5/29/06 2006 231 M POSITIVE CF 1 231
CF065A 5/10/04 2004 262 M POSITIVE CF 1 262
CF065B 5/21/05 2005 251 M POSITIVE CF 1 251
CF068 5/2/03 2003 247 M POSITIVE CF 1 247
CF068 5/12/04 2004 250 M POSITIVE CF 1 250
CF069 4/29/03 2003 270 F POSITIVE CF 1 270
CF069 5/6/04 2004 275 F POSITIVE CF 1 275
CF069 5/21/05 2005 281 F POSITIVE CF 1 281
CF069 5/20/06 2006 279 F POSITIVE CF 1 279
CF070 4/30/03 2003 271 F POSITIVE CF 1 271
CF070 5/18/05 2005 268 F POSITIVE CF 1 268
CF071F 5/9/04 2004 282 F POSITIVE CF 1 282
CF071F 5/22/06 2006 280 F negative CF 0 280
CF071M 4/30/03 2003 233 M POSITIVE CF 1 233
